12,182,1,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
H1,EU13A2,136,142,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H2,EU13A2,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H3,EU13A2,136,140,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H7,EU13A2,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H10,EU13A2,136,152,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H11,EU13A2,136,140,152,260,266,0,284,292,294,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H12,EU13A2,140,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H13,EU13A2,136,140,154,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H14,EU13A2,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H16,EU13A2,136,140,156,260,260,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,217,0
H17,EU13A2,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,166,266,266,0,341,341,0,173,173,0,205,213,0
H18,EU13A2,0,0,0,264,264,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,329,341,0,173,173,0,205,213,0
H19,EU13A2,136,144,156,260,264,266,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,329,341,0,173,173,0,205,213,0
H20,EU13A2,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H21,EU13A2,136,140,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H22,EU13A2,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H23,EU13A2,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H24,EU13A2,136,140,152,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H25,EU13A2,138,140,152,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H26,EU13A2,136,140,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H27,EU13A2,136,140,152,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,266,0,341,341,0,173,173,0,205,213,0
H28,EU13A2,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H30,EU13A2,136,142,158,260,266,0,284,294,0,166,170,0,189,189,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H32,EU13A2,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H33,EU13A2,136,142,158,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H34,EU13A2,136,146,158,260,266,0,284,294,296,166,170,0,192,192,0,240,244,0,273,279,0,154,160,0,266,268,0,341,341,0,173,173,0,205,213,0
H35,EU13A2,136,154,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H36,EU13A2,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H38,EU13A2,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H39,EU13A2,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
H40,EU13A2,136,162,0,260,266,0,284,294,0,166,170,0,192,192,0,240,244,0,273,279,0,154,160,164,266,268,0,341,341,0,173,173,0,205,213,0
